sorriso,olho_esquerdo,olho_direito,angulo_x,angulo_y,angulo_z,boca_visivel_esq,boca_visivel_dir,olho_visivel_esq,olho_visivel_dir,nariz_visivel,humor
0.66,0.93,0.19,8.65,12.07,25.51,1,0,1,1,0,Cansado
0.95,0.78,0.66,2.55,-25.11,28.76,1,1,0,1,1,Estressado
0.58,0.59,0.6,20.47,-23.48,-0.36,1,0,0,0,1,Estressado
0.83,0.76,0.9,-0.95,-8.27,-8.39,1,0,0,1,0,Feliz
0.82,0.39,0.46,-26.81,3.4,7.8,1,0,1,0,1,Estressado
0.82,0.17,0.91,4.1,-11.46,26.95,1,0,1,1,0,Triste
0.46,0.08,0.75,-9.48,0.97,12.58,0,1,1,0,1,Neutro
0.39,0.73,0.96,-5.2,-9.04,-5.31,1,1,0,1,1,Neutro
0.89,0.77,0.15,14.05,18.81,-25.81,0,1,1,0,0,Estressado
0.9,0.32,0.78,-16.2,-24.42,22.19,1,0,0,0,0,Triste
0.5,0.33,0.6,5.86,-22.31,-26.61,0,0,1,0,0,Feliz
0.12,0.27,0.07,5.78,3.35,-20.87,1,1,1,1,1,Neutro
0.0,0.31,0.68,-12.09,-10.14,23.17,1,1,1,1,1,Estressado
0.6,0.94,0.48,-27.8,-22.98,-29.56,1,0,1,0,0,Estressado
0.58,0.32,0.85,-24.68,-27.12,10.2,0,0,1,1,0,Estressado
0.7,0.26,0.64,18.99,-29.74,-15.83,0,0,1,1,1,Neutro
0.49,0.21,0.08,17.21,21.89,-26.68,1,0,0,1,0,Estressado
0.51,0.69,0.65,8.96,-22.14,-0.68,0,1,1,1,1,Neutro
0.42,0.28,0.92,-1.61,-16.48,20.52,1,0,0,1,0,Triste
0.95,0.48,0.67,8.61,26.33,-13.15,1,1,0,1,1,Neutro
0.16,0.36,0.4,27.15,-22.26,-29.07,1,1,1,0,0,Cansado
0.03,0.73,0.67,21.35,-22.2,-11.12,1,0,1,1,0,Triste
0.01,0.97,0.88,12.28,-21.49,2.35,0,1,0,1,0,Estressado
0.76,0.83,0.45,29.54,-14.39,-3.15,0,1,1,0,0,Feliz
0.45,1.0,0.94,-18.65,18.27,7.97,1,0,0,0,1,Neutro
0.26,0.21,0.21,6.85,30.0,-1.13,0,1,0,1,0,Cansado
0.11,0.81,0.94,-26.99,-21.09,-0.06,1,0,1,0,1,Neutro
0.12,0.46,0.75,-20.39,12.22,23.16,1,0,0,1,1,Estressado
0.29,0.94,0.61,14.47,-3.72,3.37,1,0,0,1,0,Feliz
0.27,0.31,0.63,16.33,-23.78,15.82,1,1,1,0,0,Estressado
0.69,0.73,0.02,-0.07,-1.01,10.78,1,0,1,1,1,Estressado
0.05,0.37,0.48,9.84,29.11,5.78,0,1,0,1,0,Estressado
0.39,0.87,0.68,18.74,-6.44,23.47,1,0,1,0,1,Feliz
0.49,0.23,0.04,20.03,2.46,-8.5,0,1,0,1,0,Neutro
0.02,0.85,0.73,3.85,-25.57,18.62,0,1,0,1,0,Neutro
0.38,0.7,0.1,-23.46,-27.71,-8.37,1,1,0,0,1,Estressado
0.64,0.66,0.96,1.46,9.03,26.06,0,0,0,1,0,Estressado
0.02,0.03,0.98,14.46,1.26,13.12,1,0,1,0,1,Neutro
0.17,0.71,0.83,-19.75,24.99,-14.57,1,1,1,0,1,Cansado
0.47,0.02,0.26,-29.97,27.98,12.14,0,1,0,1,0,Neutro
0.39,0.27,0.21,4.74,2.86,-10.93,1,0,0,1,1,Feliz
0.71,0.69,0.27,-25.74,-27.37,-25.0,0,0,0,0,1,Estressado
0.65,0.46,0.93,15.28,-1.82,10.77,0,1,0,0,0,Estressado
0.75,0.26,0.82,-5.78,-25.64,10.19,0,0,0,1,0,Estressado
0.84,0.64,0.97,-26.14,17.11,0.68,0,0,0,1,0,Triste
0.69,0.52,0.87,8.63,3.43,-15.11,0,0,1,0,0,Estressado
0.26,0.95,0.73,4.95,18.28,11.29,0,0,0,1,1,Feliz
0.79,0.88,0.98,-28.85,17.83,-11.14,1,0,1,1,0,Triste
0.87,0.85,0.56,-26.07,26.5,-23.52,0,0,0,0,0,Triste
0.22,0.17,0.61,6.88,-21.17,-18.73,0,0,1,0,1,Cansado
0.02,0.57,0.08,26.98,-27.67,14.72,0,1,0,1,0,Triste
0.52,0.0,0.21,-24.34,6.7,-2.66,0,0,1,1,1,Feliz
0.9,0.95,0.88,8.3,16.73,3.37,0,0,1,1,1,Feliz
0.11,0.7,0.42,-22.11,13.46,-13.25,1,1,0,1,1,Cansado
0.54,0.83,0.24,25.59,2.33,3.19,1,0,0,0,1,Cansado
0.06,0.72,0.13,-0.67,23.39,-2.71,1,0,1,0,1,Neutro
0.93,0.9,0.08,-0.18,-13.94,19.19,0,0,1,1,1,Feliz
0.16,0.8,0.23,-20.32,29.2,-10.49,0,1,1,0,0,Estressado
0.31,0.27,0.6,-8.29,-7.49,1.86,1,0,1,1,0,Triste
0.1,0.04,0.7,-6.0,-26.74,-6.96,1,0,1,1,1,Estressado
0.84,0.25,0.74,-14.49,14.45,11.42,1,0,1,1,0,Triste
0.66,0.25,0.63,-7.45,23.66,-19.92,1,0,1,1,1,Estressado
0.51,0.6,0.77,-25.46,17.94,-13.27,1,0,1,1,0,Feliz
0.25,0.41,0.72,-21.16,8.72,26.26,0,1,0,1,0,Feliz
0.3,0.5,0.49,-4.43,29.34,26.9,0,0,1,1,1,Neutro
0.38,0.99,0.47,11.05,23.33,-4.41,0,1,0,0,1,Triste
0.25,0.81,0.38,-22.8,7.01,21.33,1,0,0,1,0,Feliz
0.56,0.71,0.83,26.54,-24.89,-6.25,1,1,1,0,1,Cansado
0.51,0.08,0.75,9.79,-2.88,-22.96,1,0,1,0,1,Feliz
0.42,0.81,0.39,-1.9,0.96,18.69,1,0,1,0,0,Feliz
0.32,0.53,0.75,-28.46,27.84,-18.71,1,0,1,1,0,Cansado
0.09,0.02,0.33,11.42,-17.22,11.18,1,0,0,1,0,Neutro
0.27,0.71,0.64,-1.92,14.18,-1.53,0,1,1,0,1,Estressado
0.26,0.24,0.52,-20.1,23.3,-12.82,0,1,0,0,1,Cansado
0.73,0.92,0.65,6.34,-15.62,-24.34,0,1,1,0,1,Triste
0.08,0.13,0.12,2.24,-5.98,28.66,1,0,1,1,0,Cansado
0.61,0.08,0.72,25.71,-15.68,-1.38,1,1,1,0,1,Neutro
0.61,0.63,0.47,-19.51,-0.32,10.09,0,0,0,0,1,Estressado
0.64,0.51,0.67,12.74,7.72,-28.66,1,0,1,0,1,Neutro
0.75,0.8,0.22,-27.82,-2.34,-22.83,0,1,0,0,1,Neutro
0.84,0.86,0.41,-23.99,0.27,-13.86,0,1,1,0,1,Triste
0.42,0.55,0.59,18.35,18.28,-17.11,1,1,0,1,0,Neutro
0.56,0.12,0.05,16.84,22.46,24.82,1,0,0,1,1,Neutro
0.66,0.47,0.97,9.72,-16.11,16.55,0,0,0,1,0,Estressado
0.46,0.11,0.73,23.58,0.07,-11.11,1,1,1,0,0,Neutro
0.6,0.96,0.73,10.46,10.33,10.07,0,1,1,1,1,Feliz
0.11,0.72,0.72,12.54,20.16,19.3,0,1,0,0,1,Neutro
0.11,0.87,0.11,-10.75,-5.82,29.58,1,0,1,1,0,Neutro
0.87,0.2,0.93,29.81,-16.41,14.86,1,1,1,0,0,Triste
0.0,0.5,0.57,26.75,8.13,-23.21,1,1,1,1,1,Estressado
0.68,0.56,0.17,14.65,17.65,-28.8,0,0,0,0,0,Feliz
0.6,0.46,0.48,-23.08,-18.01,-10.1,0,0,0,0,0,Neutro
0.51,0.38,0.12,-11.26,-17.61,-14.55,1,0,0,0,1,Triste
0.67,0.15,0.83,-10.81,16.78,-29.7,1,0,0,1,1,Cansado
0.26,0.48,0.36,-23.07,27.32,25.3,1,1,0,0,1,Feliz
0.16,0.61,0.48,-24.99,-21.17,25.73,0,1,1,1,0,Neutro
0.01,0.32,0.38,-23.39,-0.18,-4.31,0,0,1,1,0,Feliz
0.74,0.57,0.75,-26.15,29.09,10.47,0,1,1,1,1,Estressado
0.27,0.37,0.68,20.59,-0.72,-8.07,0,0,1,1,0,Neutro
0.63,0.91,0.78,-2.05,26.75,14.82,1,1,0,0,1,Estressado
0.74,0.64,0.98,11.59,-12.41,7.12,1,1,0,0,1,Neutro
0.3,0.92,0.57,-29.35,5.24,-6.67,1,0,1,0,0,Cansado
0.93,0.34,0.34,12.78,10.58,14.33,0,1,1,1,0,Feliz
0.15,0.01,0.4,29.14,-28.27,28.79,1,1,1,0,1,Estressado
0.4,0.67,0.08,-19.01,-26.36,16.05,0,1,1,1,1,Feliz
0.29,0.09,0.41,25.39,-28.67,1.37,1,0,1,0,1,Cansado
0.31,0.35,0.95,26.69,-17.01,-16.07,1,0,1,1,0,Feliz
0.47,0.79,0.22,5.88,-21.13,6.36,0,0,1,0,0,Estressado
0.42,0.06,0.24,9.96,-29.06,28.29,0,0,1,1,0,Feliz
0.44,0.32,0.94,15.09,25.39,2.93,0,1,1,1,1,Cansado
0.02,0.94,0.09,-8.36,26.85,-0.6,0,0,0,0,0,Triste
1.0,0.4,0.6,28.5,-7.2,11.87,0,0,0,1,0,Estressado
0.25,0.39,0.37,23.63,-8.52,-7.72,1,1,1,0,1,Triste
0.26,0.31,0.71,-29.29,-27.21,-15.46,1,1,1,1,0,Neutro
0.45,0.09,0.64,16.78,-12.41,8.68,0,1,1,0,1,Estressado
0.38,0.06,0.13,24.17,-9.38,-23.03,0,1,1,1,1,Triste
0.99,0.65,0.86,-1.21,-23.05,-26.15,0,0,1,0,1,Estressado
0.54,0.29,0.9,-2.26,-6.14,-25.09,1,1,0,0,1,Feliz
0.58,0.23,0.57,-13.53,17.56,-17.51,0,0,0,1,1,Feliz
0.42,0.03,0.51,4.44,22.6,6.6,1,1,0,0,0,Neutro
0.04,0.64,0.15,18.48,17.26,-1.32,1,0,1,1,0,Triste
0.15,0.87,0.31,8.71,15.88,-25.48,0,1,1,0,1,Neutro
0.15,0.23,0.83,5.28,3.01,-4.13,1,0,1,0,1,Neutro
0.59,0.29,0.79,-12.18,7.57,9.92,0,1,1,0,0,Feliz
0.39,0.2,0.22,29.31,29.06,17.63,0,1,0,0,0,Estressado
0.91,0.32,0.12,-18.97,18.18,25.74,0,0,0,1,0,Cansado
0.72,0.49,0.24,-27.4,0.95,-2.1,1,1,0,0,0,Feliz
0.29,0.22,0.23,-21.81,-17.42,10.37,0,1,1,0,1,Neutro
0.87,0.68,0.12,-9.56,-19.23,-22.57,1,0,1,1,1,Estressado
0.91,1.0,0.05,-16.84,-2.47,-9.99,0,1,0,1,1,Feliz
0.83,0.76,0.19,-27.15,8.99,-16.52,1,1,1,0,1,Feliz
0.67,0.09,0.13,7.61,-27.97,-16.09,0,0,0,1,1,Triste
0.57,0.5,0.33,-18.58,12.59,-7.02,1,1,0,1,1,Feliz
0.77,0.98,0.32,13.66,25.01,-18.89,1,1,0,0,1,Feliz
0.06,0.59,0.72,-3.19,26.97,3.83,1,0,1,0,1,Cansado
0.6,0.98,0.66,-25.64,23.77,20.57,1,0,0,0,1,Estressado
0.28,0.65,0.73,-8.91,28.59,3.66,1,0,1,0,1,Estressado
0.55,0.01,0.43,21.52,22.84,21.63,1,0,1,1,0,Triste
0.42,0.84,0.31,17.6,28.08,23.68,0,1,0,1,1,Estressado
0.29,0.74,0.72,-0.87,-20.35,12.43,1,0,1,1,0,Triste
0.88,0.83,0.01,6.72,-4.63,22.9,1,1,1,0,0,Triste
0.63,0.06,0.8,9.67,3.59,10.6,0,1,1,1,1,Feliz
0.06,0.63,0.05,27.96,-12.75,-7.35,0,1,0,1,0,Triste
0.62,0.69,0.55,3.26,13.21,-11.77,1,0,0,1,1,Triste
0.32,0.91,0.21,-23.17,-27.62,1.32,1,0,1,0,0,Estressado
0.27,0.01,0.24,26.54,-11.84,-19.65,1,0,0,1,0,Feliz
0.96,0.43,0.71,-8.52,9.32,-5.07,0,1,1,0,0,Estressado
0.32,0.7,0.37,-7.28,0.62,8.24,1,1,0,0,1,Feliz
0.82,0.04,0.63,5.14,-15.13,-20.28,0,1,0,1,1,Cansado
0.65,0.23,0.68,21.93,17.48,5.48,0,1,0,0,1,Estressado
0.49,0.69,0.87,-0.45,17.87,-10.07,1,0,0,1,1,Feliz
0.58,0.03,0.57,4.64,-17.16,24.67,1,1,0,0,0,Neutro
0.08,0.88,0.19,13.05,27.3,-21.89,1,0,0,1,0,Estressado
0.14,0.58,0.45,7.02,28.57,26.42,0,0,0,0,1,Neutro
0.16,0.5,0.79,15.95,-1.25,23.43,0,1,0,0,1,Estressado
0.23,0.63,0.13,-6.93,5.21,-26.34,0,1,1,0,0,Neutro
0.44,0.39,0.61,11.34,-29.59,17.03,0,1,1,1,0,Triste
0.18,0.35,0.59,6.38,27.28,-19.68,0,1,0,0,0,Estressado
0.42,0.25,0.3,16.15,29.27,24.36,1,1,1,0,1,Triste
0.13,0.86,0.09,26.23,1.39,-13.6,1,0,1,0,1,Feliz
0.68,0.48,0.04,-10.55,-6.49,3.17,0,0,0,0,1,Cansado
0.56,0.77,0.59,-7.59,-1.97,-17.76,0,0,1,1,0,Neutro
0.21,0.41,0.88,14.74,-22.97,-25.61,1,1,1,1,1,Cansado
0.96,0.77,0.85,4.6,-1.19,12.69,1,1,0,0,0,Triste
0.09,0.91,0.64,-7.21,-23.95,-24.29,0,1,0,0,1,Cansado
0.01,0.92,0.87,5.63,22.72,10.38,1,0,0,0,0,Estressado
0.97,0.86,0.57,22.97,-9.94,6.54,0,1,0,0,1,Neutro
0.24,0.29,0.07,-19.64,22.24,23.48,0,1,1,0,1,Cansado
0.63,0.1,0.43,15.66,-25.96,-2.27,0,0,1,1,0,Triste
0.15,0.66,0.37,-3.13,27.82,16.17,0,1,1,1,1,Neutro
0.83,0.46,0.44,-25.83,6.49,3.18,1,0,0,0,1,Triste
0.39,0.59,0.09,21.58,1.84,-8.42,1,0,0,1,1,Neutro
0.15,0.87,0.97,11.36,17.43,-10.96,0,0,0,0,1,Estressado
0.99,0.86,0.73,-2.5,-20.7,-14.22,1,1,0,1,0,Cansado
0.32,0.11,0.64,-0.73,8.28,-8.76,1,1,0,1,0,Neutro
0.7,0.57,0.51,-27.49,12.23,3.22,0,1,0,0,1,Neutro
0.63,0.57,0.58,17.46,-5.2,-19.19,1,1,1,0,0,Triste
0.07,0.02,0.67,12.14,19.28,-16.02,0,1,0,1,1,Feliz
0.09,0.27,0.05,-15.84,6.23,21.8,1,0,1,1,1,Cansado
0.77,0.01,0.42,14.77,-21.4,5.22,0,1,1,1,0,Feliz
0.51,0.05,0.13,-22.85,18.59,-15.44,0,0,0,1,0,Estressado
0.46,0.21,0.88,7.36,-25.64,-4.86,0,1,0,1,1,Cansado
0.7,0.81,0.46,-24.38,13.64,-5.88,0,1,1,1,1,Feliz
0.05,0.53,0.6,9.57,-4.62,-2.7,1,0,1,1,1,Cansado
0.51,0.04,0.79,11.02,-8.14,-18.7,1,1,1,0,1,Estressado
0.11,0.44,0.61,23.91,21.83,3.15,0,1,1,1,0,Neutro
0.29,0.57,0.14,-15.6,7.1,-27.3,0,0,1,1,1,Estressado
0.36,0.99,0.99,-17.53,-27.12,14.3,0,0,1,1,1,Feliz
0.81,0.06,0.31,3.75,0.56,2.65,0,1,1,1,0,Neutro
0.48,0.59,0.35,10.78,13.59,21.11,0,0,1,0,1,Feliz
0.04,0.58,0.8,17.39,-17.82,2.98,0,0,0,1,0,Triste
0.23,0.64,0.84,-1.54,-5.13,19.52,1,0,1,0,0,Cansado
0.71,0.02,0.98,-20.52,6.76,11.09,1,1,1,0,1,Triste
0.45,0.42,0.31,2.48,7.55,-22.85,1,0,0,0,1,Estressado
0.11,0.78,0.33,5.26,-3.61,11.04,0,1,1,0,0,Triste
0.2,0.72,0.57,16.48,29.13,17.71,1,0,0,0,0,Cansado
0.6,0.84,0.05,20.32,14.89,-13.36,0,0,1,0,1,Feliz
0.85,0.22,0.1,16.77,-20.83,-16.27,1,1,0,1,1,Feliz
0.98,0.59,0.72,9.53,22.25,20.2,1,0,1,1,0,Estressado
0.82,0.93,0.95,-0.31,15.18,29.68,1,0,0,0,1,Triste
0.54,0.05,0.8,-5.58,-11.0,16.19,0,1,1,0,0,Feliz
0.28,0.79,0.72,12.39,-15.15,-20.19,0,1,0,0,0,Feliz
0.11,0.57,0.31,-3.35,-27.0,4.96,1,0,1,0,0,Estressado
0.61,0.95,0.48,-21.39,5.64,28.12,0,1,0,0,1,Neutro
0.09,0.95,0.72,-11.74,-25.1,-17.01,0,1,1,0,0,Neutro
0.49,0.28,0.22,-13.04,-23.37,26.27,0,1,1,0,0,Estressado
0.67,0.08,0.48,26.57,-26.61,12.51,1,1,0,1,1,Triste
0.42,0.0,0.27,20.39,-3.81,11.4,1,0,1,0,0,Neutro
0.75,0.43,0.35,-16.09,-0.31,18.94,1,1,0,1,1,Feliz
0.22,0.18,0.01,18.96,12.09,28.89,0,0,0,1,0,Estressado
0.64,0.57,0.93,5.5,-19.28,-21.54,1,0,1,0,1,Estressado
0.22,1.0,0.27,10.39,-1.71,-9.18,0,1,1,1,1,Feliz
0.95,0.64,0.94,-24.52,-17.58,-26.72,0,1,0,1,0,Feliz
0.69,0.06,0.9,-23.22,1.35,14.4,1,0,0,0,0,Cansado
0.82,0.15,0.52,-14.16,-10.88,-6.86,0,0,1,0,0,Estressado
0.8,0.11,0.66,1.72,15.63,-21.93,1,0,1,1,1,Neutro
0.81,0.39,0.23,2.75,21.09,14.06,1,1,0,1,1,Estressado
0.6,0.36,0.61,5.26,-13.86,10.33,0,0,0,0,1,Estressado
0.92,0.04,0.36,-20.76,-7.2,-9.95,0,1,0,0,1,Neutro
0.78,0.25,0.26,-17.62,15.35,-25.93,1,1,0,0,0,Estressado
0.4,0.2,0.27,-1.07,-19.01,-24.16,1,0,0,0,0,Triste
0.28,0.61,0.48,10.02,22.01,-5.13,1,0,1,1,1,Feliz
0.77,0.04,0.91,-25.8,5.08,5.72,0,1,1,1,0,Triste
0.73,0.29,0.02,10.82,-15.49,20.1,0,1,0,1,0,Feliz
0.15,0.94,0.78,28.24,-7.83,-14.62,1,1,1,0,0,Triste
0.85,0.14,0.48,-14.84,-27.48,-12.99,1,1,0,0,1,Estressado
0.08,0.82,0.01,-19.37,11.08,-12.82,1,0,1,1,0,Estressado
0.78,0.98,0.45,15.19,2.88,-14.94,1,1,1,0,0,Triste
0.1,0.16,0.54,-5.92,14.25,-10.41,1,0,1,0,0,Triste
0.8,0.11,0.92,28.14,-28.15,13.09,0,0,1,1,0,Triste
0.44,0.65,0.38,5.22,-15.35,12.75,1,0,1,0,1,Triste
0.52,0.34,0.01,19.93,11.74,-0.4,0,1,1,1,1,Feliz
0.4,0.8,0.92,-27.99,-11.32,-7.53,0,0,1,0,1,Triste
0.52,0.52,0.81,6.22,23.48,2.6,0,0,1,0,1,Feliz
0.18,0.27,0.95,9.78,28.44,-7.03,1,1,1,0,1,Cansado
0.02,0.46,0.55,5.95,8.19,7.66,0,1,0,0,1,Feliz
0.07,0.97,0.85,-7.59,2.08,10.77,0,0,1,1,0,Neutro
0.83,0.18,0.77,25.68,3.19,3.06,1,1,1,1,1,Cansado
0.08,0.39,0.75,-0.01,4.61,-17.22,1,0,0,0,0,Estressado
0.67,0.04,1.0,-27.84,23.62,15.16,0,1,1,1,1,Neutro
0.29,0.62,0.62,4.49,19.26,-23.0,1,0,0,0,1,Feliz
0.68,0.45,0.13,-29.9,-14.14,-11.49,1,1,1,1,1,Feliz
0.96,0.05,0.44,-2.07,3.65,11.62,0,1,1,1,0,Cansado
0.68,0.93,0.34,-22.52,-24.62,19.19,0,1,0,0,1,Feliz
0.27,1.0,0.52,-2.51,-12.79,3.09,0,0,0,0,0,Estressado
0.75,0.7,0.91,10.96,-22.59,6.21,0,0,0,1,1,Neutro
0.32,0.7,0.88,-13.51,-18.36,20.32,1,1,1,0,0,Neutro
0.44,0.96,0.34,2.74,-14.33,16.51,1,1,1,1,1,Feliz
0.86,0.36,0.95,-8.61,15.91,-2.64,1,0,0,1,1,Triste
0.11,0.87,0.04,9.65,22.52,-28.36,0,0,1,0,0,Feliz
0.19,0.43,0.56,-8.72,1.24,25.64,1,0,1,0,1,Triste
0.25,0.01,0.47,-11.7,13.25,-20.98,1,1,1,1,1,Neutro
0.63,0.73,0.47,18.17,16.0,20.92,1,1,0,0,1,Neutro
0.48,0.43,0.8,17.85,0.42,13.47,0,0,1,0,1,Cansado
0.72,0.55,0.62,10.49,-28.59,-13.5,1,1,0,1,1,Neutro
0.92,0.36,0.46,1.85,-7.85,-21.14,0,0,0,1,1,Cansado
0.5,0.82,0.99,3.81,26.47,1.34,1,1,0,1,1,Neutro
0.63,0.24,0.5,-22.58,17.48,-20.69,1,0,0,0,1,Feliz
0.4,0.79,0.35,8.74,-15.37,4.28,1,1,0,1,0,Feliz
0.08,0.8,0.05,15.66,-23.41,-17.78,0,1,1,1,0,Cansado
0.69,0.66,0.7,-12.63,17.78,-28.78,0,0,0,1,1,Neutro
0.53,0.2,0.58,5.31,28.49,26.03,0,0,1,1,0,Estressado
0.1,0.99,0.5,5.18,13.8,-18.26,0,0,1,1,0,Estressado
0.83,0.57,0.22,13.48,29.18,26.42,1,0,0,0,0,Cansado
0.78,0.11,0.62,-29.51,-9.23,-4.46,0,0,1,1,1,Cansado
0.55,0.3,0.55,12.17,14.85,-17.56,1,0,0,1,0,Feliz
0.85,0.25,0.92,13.71,-21.68,22.41,1,0,1,0,0,Triste
0.45,0.3,0.92,-0.12,11.48,-5.95,0,1,1,1,0,Neutro
0.59,0.86,0.48,19.73,-12.31,-7.17,0,0,0,0,0,Neutro
0.58,0.9,0.45,17.27,-6.54,21.94,1,1,0,1,1,Triste
0.84,0.18,0.7,-13.09,22.36,-5.36,0,0,1,0,0,Triste
0.26,0.73,0.23,8.71,-8.23,8.01,1,1,0,1,0,Cansado
0.58,0.79,1.0,-20.14,8.89,12.87,0,1,1,0,1,Feliz
0.2,0.55,0.96,29.22,-28.97,1.28,0,0,0,1,1,Triste
0.84,0.79,0.56,-22.57,5.24,-26.41,0,0,1,1,1,Triste
0.89,0.97,0.61,5.31,28.9,-7.61,1,0,0,1,1,Neutro
0.5,0.17,0.46,8.42,12.66,11.64,0,1,0,1,0,Triste
0.26,0.96,0.34,-5.12,-4.11,-19.04,0,1,0,1,1,Neutro
0.45,0.39,0.66,-19.34,12.07,-19.78,1,0,1,1,0,Feliz
0.22,0.56,0.53,23.6,29.53,27.46,0,0,1,0,0,Estressado
0.86,0.4,0.2,16.49,-25.92,-29.21,0,0,1,1,0,Cansado
0.08,0.62,0.85,12.03,23.18,-7.8,0,0,0,0,0,Cansado
0.36,0.0,0.02,-7.29,-11.36,-19.44,0,0,0,1,1,Triste
0.67,0.08,0.39,11.2,-15.97,24.77,0,0,1,1,0,Triste
0.67,0.87,1.0,-4.69,-14.43,18.11,1,0,0,0,1,Feliz
0.62,0.11,0.23,11.11,-4.75,-6.4,0,0,1,0,0,Feliz
0.24,0.62,0.72,9.94,13.72,-28.01,1,1,0,0,1,Neutro
0.49,0.05,0.1,-8.92,-14.1,17.42,0,1,1,1,1,Feliz
0.91,0.77,0.86,15.29,27.21,-18.83,0,0,1,1,1,Triste
0.47,0.64,0.76,-12.61,-18.09,-26.81,0,1,0,0,0,Neutro
0.17,0.29,0.35,1.23,-8.21,10.23,1,0,0,1,0,Neutro
0.62,0.78,0.86,20.84,11.06,3.08,0,1,1,0,0,Feliz
0.17,0.75,0.13,21.69,15.22,-0.81,0,1,1,0,0,Feliz
0.63,0.8,0.99,6.21,19.55,-24.44,0,0,1,1,1,Feliz
0.89,0.66,0.02,-11.45,-28.79,12.94,0,1,1,0,0,Estressado
0.77,0.14,0.32,-16.49,-12.51,-10.41,1,0,0,1,1,Feliz
0.16,0.36,0.56,12.09,-26.16,-26.0,1,1,1,0,1,Feliz
0.09,0.65,0.09,-9.52,-3.62,25.35,0,1,0,0,1,Neutro
0.74,0.32,0.99,-19.32,2.06,-1.14,0,1,1,0,0,Neutro
0.43,0.87,0.52,-3.88,12.61,-14.85,1,0,1,1,1,Cansado
0.39,0.11,0.52,26.37,19.12,16.17,1,1,1,1,1,Feliz
0.49,0.63,0.56,-18.53,25.55,13.45,0,0,0,1,0,Cansado
0.93,0.36,0.14,3.86,-19.45,20.9,1,0,0,0,1,Neutro
0.13,0.57,0.93,17.79,10.53,-26.68,0,0,1,1,0,Triste
0.3,0.06,0.37,-3.9,18.89,2.43,1,1,1,1,0,Triste
0.81,0.6,0.96,13.3,26.13,-18.45,1,1,1,1,1,Cansado
0.59,0.54,0.29,10.34,24.28,-8.56,1,1,0,0,0,Triste
0.08,0.1,0.19,-3.06,-4.48,-3.47,0,1,1,0,0,Estressado
0.86,0.94,0.2,24.86,19.84,-2.1,0,0,0,0,0,Cansado
0.14,0.45,0.23,-3.65,-12.82,-7.12,0,1,1,1,1,Estressado
0.19,0.81,0.36,11.98,-4.16,2.39,1,1,1,1,1,Neutro
0.75,0.47,0.79,15.21,4.36,-18.16,0,1,1,1,1,Feliz
0.08,0.73,0.89,-2.23,10.77,-16.96,1,1,0,0,1,Estressado
0.29,0.32,0.55,9.1,24.79,6.12,0,1,1,0,0,Cansado
0.79,0.93,0.14,27.12,-14.92,-22.86,1,1,0,1,0,Feliz
0.48,0.42,0.59,-9.69,15.62,-29.38,1,0,1,0,1,Estressado
0.52,0.29,0.46,22.38,-2.2,-7.13,1,0,0,0,0,Estressado
0.4,0.13,0.82,-11.37,-20.73,16.93,1,0,0,0,0,Feliz
0.48,0.98,0.63,16.64,-6.37,15.97,0,0,1,0,1,Neutro
0.41,0.46,0.69,-18.45,-8.9,16.39,1,0,1,0,1,Neutro
0.28,0.13,0.53,-18.32,-20.78,-13.93,1,0,0,1,0,Feliz
0.7,0.28,0.02,-7.54,14.58,21.38,1,1,0,0,1,Cansado
0.99,0.96,0.62,-2.19,-16.49,-11.25,0,0,1,0,0,Feliz
0.08,0.5,0.11,1.55,0.9,-26.4,0,1,1,1,1,Cansado
0.6,0.48,0.21,16.81,-23.0,-15.35,1,0,0,0,0,Triste
0.68,0.64,0.74,2.23,-16.95,-3.36,1,0,1,1,1,Cansado
0.9,0.62,0.03,0.93,5.26,2.38,0,0,0,0,1,Feliz
0.77,0.62,0.87,3.94,3.24,-4.46,1,0,0,0,0,Neutro
0.02,0.75,0.15,16.06,-4.9,-21.31,0,1,0,1,1,Triste
0.32,0.81,0.23,-20.43,8.07,-18.05,0,1,1,0,1,Feliz
0.37,0.1,0.69,-19.89,-6.91,-28.98,1,1,1,0,0,Feliz
0.85,0.07,0.99,-25.06,-3.23,24.99,0,0,0,1,1,Feliz
0.21,0.37,0.12,-9.21,-3.65,13.59,1,0,1,0,0,Feliz
0.51,0.72,0.08,-24.1,-28.34,27.93,1,0,1,0,1,Feliz
0.54,1.0,0.44,-20.93,-17.09,-23.28,0,1,1,1,0,Estressado
0.82,0.43,0.49,23.57,-11.16,-16.92,0,1,0,0,1,Neutro
0.06,0.83,0.18,23.6,20.27,-5.93,0,0,1,1,0,Cansado
0.69,0.11,0.7,-20.3,8.79,-5.92,1,0,0,0,0,Triste
0.93,0.62,0.86,-13.45,-27.35,-26.36,0,0,1,1,1,Cansado
0.28,0.7,0.62,25.26,19.76,15.13,0,1,0,1,0,Triste
0.15,0.34,0.8,-18.74,-12.61,19.25,1,1,1,0,0,Estressado
0.01,0.65,0.79,-21.53,26.97,-12.68,1,1,1,1,1,Feliz
0.3,0.88,0.13,6.57,-15.66,22.52,1,0,1,1,0,Triste
0.71,0.74,0.04,8.29,-6.38,-7.24,1,0,0,0,0,Estressado
0.41,0.82,0.72,2.37,22.91,-22.46,0,1,1,0,0,Neutro
